"totalCareless","totalCareful","ls_info","ls_rCareless","ls_rCareful","eo_simul_info","eo_simul_rCareless","eo_simul_rCareful","out_simul_info","out_simul_rCareless","out_simul_rCareful","any_flag_lsf_info","any_flag_lsf_rCareless","any_flag_lsf_rCareful","any_flag_simul_rCareless","any_flag_simul_rCareful","all_flags_info","all_flags_rCareless","all_flags_rCareful","ls_or_agree_lsf_info","ls_or_agree_lsf_rCareless","ls_or_agree_lsf_rCareful","ls_or_agree_simul_info","ls_or_agree_simul_rCareless","ls_or_agree_simul_rCareful","ls_or_out_lsf_info","ls_or_out_lsf_rCareless","ls_or_out_lsf_rCareful","ls_or_eo_simul_info","ls_or_eo_simul_rCareless","ls_or_eo_simul_rCareful","ls_or_outsq_info","ls_or_outsq_rCareless","ls_or_outsq_rCareful","ls_rCareless_prop","eo_rCareless_prop","out_rCareless_prop","any_flag_lsf_rCareless_prop","all_flags_rCareless_prop","ls_or_agree_rCareless_prop","ls_or_agree_simul_rCareless_prop","ls_or_out_lsf_rCareless_prop","ls_or_eo_simul_rCareless_prop","ls_or_outsq_rCareless_prop","ls_r_prop","eo_r_prop","out_r_prop","any_flag_lsf_r_prop","all_flags_r_prop","ls_or_agree_r_prop","ls_or_agree_simul_r_prop","ls_or_out_lsf_r_prop","ls_or_eo_simul_r_prop","ls_or_outsq_r_prop","propCareless","ls_rCareful_prop","eo_rCareful_prop","out_rCareful_prop","any_flag_lsf_rCareful_prop","all_flags_rCareful_prop","ls_or_agree_rCareful_prop","ls_or_agree_simul_rCareful_prop","ls_or_out_lsf_rCareful_prop","ls_or_eo_simul_rCareful_prop","ls_or_outsq_rCareful_prop"
25,475,0.298947368421053,17,465,-0.031578947368421,12,213,0.191578947368421,13,338,0.136842105263158,3,122,4,125,0.0800000000000001,23,475,0.477894736842105,10,417,0.433684210526316,11,415,0.450526315789474,6,328,0.164210526315789,7,420,0.298947368421053,9,317,0.0352697095435685,0.0533333333333333,0.037037037037037,0.024,0.0461847389558233,0.0234192037470726,0.0258215962441315,0.0179640718562874,0.0163934426229508,0.0276073619631902,0.964,0.45,0.702,0.25,0.996,0.854,0.852,0.668,0.854,0.652,0.05,0.978947368421053,0.448421052631579,0.711578947368421,0.256842105263158,1,0.877894736842105,0.873684210526316,0.690526315789474,0.884210526315789,0.667368421052632
30,470,0.253900709219858,22,464,-0.188652482269504,19,209,0.269503546099291,14,346,0.116312056737589,5,133,8,138,0.1,27,470,0.209929078014184,20,412,0.207801418439716,20,411,0.456737588652482,8,340,-0.121985815602837,17,415,0.253900709219858,11,320,0.0452674897119342,0.0833333333333333,0.0388888888888889,0.036231884057971,0.0543259557344064,0.0462962962962963,0.0464037122969838,0.0229885057471264,0.0393518518518519,0.0332326283987915,0.972,0.456,0.72,0.276,0.994,0.864,0.862,0.696,0.864,0.662,0.06,0.987234042553191,0.44468085106383,0.736170212765957,0.282978723404255,1,0.876595744680851,0.874468085106383,0.723404255319149,0.882978723404255,0.680851063829787
43,457,0.183858327820467,35,456,-0.232405475548318,29,202,0.142893491425373,25,331,0.0584703068546131,10,133,12,132,0.0232558139534884,42,457,0.133275660271742,32,401,0.107831662510814,33,400,0.307872372907231,18,332,-0.139382219734365,25,408,0.183858327820467,20,317,0.0712830957230143,0.125541125541126,0.0702247191011236,0.0699300699300699,0.0841683366733467,0.0739030023094688,0.0762124711316397,0.0514285714285714,0.0577367205542725,0.0593471810089021,0.982,0.462,0.712,0.286,0.998,0.866,0.866,0.7,0.866,0.674,0.086,0.99781181619256,0.442013129102845,0.724288840262582,0.291028446389497,1,0.87746170678337,0.87527352297593,0.726477024070022,0.892778993435449,0.693654266958424
47,453,0.1870743506646,38,451,-0.111690385608943,26,200,0.18632285942417,26,335,0.159316142971209,6,130,8,131,0.0638297872340425,44,453,0.119252266215772,36,401,0.121459771734536,36,402,0.326429007561881,19,331,-0.0478605983749003,23,414,0.1870743506646,22,312,0.0777096114519427,0.115044247787611,0.07202216066482,0.0441176470588235,0.0885311871227364,0.0823798627002288,0.0821917808219178,0.0542857142857143,0.0526315789473684,0.0658682634730539,0.978,0.452,0.722,0.272,0.994,0.874,0.876,0.7,0.874,0.668,0.094,0.995584988962472,0.441501103752759,0.739514348785872,0.286975717439294,1,0.885209713024283,0.887417218543046,0.730684326710817,0.913907284768212,0.688741721854305
18,482,0.376440756108806,11,476,-0.14845550945136,11,223,0.28377132319041,8,351,0.138312586445366,3,147,4,144,0.166666666666667,15,482,0.424850161364684,8,419,0.431074227754726,8,422,0.49354541263255,4,345,0.0696173351775011,7,420,0.376440756108806,5,327,0.0225872689938398,0.047008547008547,0.0222841225626741,0.02,0.0301810865191147,0.0187353629976581,0.0186046511627907,0.0114613180515759,0.0163934426229508,0.0150602409638554,0.974,0.468,0.718,0.3,0.994,0.854,0.86,0.698,0.854,0.664,0.036,0.987551867219917,0.462655601659751,0.728215767634855,0.304979253112033,1,0.869294605809129,0.87551867219917,0.715767634854772,0.871369294605809,0.678423236514523
36,464,0.303400383141762,25,463,-0.0174808429118773,17,211,0.0146072796934866,25,329,0.0237068965517242,9,127,10,128,0.111111111111111,32,464,0.270354406130268,22,409,0.246886973180077,23,411,0.260296934865901,16,327,0.0380747126436782,15,416,0.303400383141762,15,314,0.0512295081967213,0.0745614035087719,0.0706214689265537,0.0661764705882353,0.0645161290322581,0.0510440835266821,0.0529953917050691,0.0466472303206997,0.0348027842227378,0.0455927051671733,0.976,0.456,0.708,0.272,0.992,0.862,0.868,0.686,0.862,0.658,0.072,0.997844827586207,0.454741379310345,0.709051724137931,0.273706896551724,1,0.881465517241379,0.885775862068966,0.704741379310345,0.896551724137931,0.676724137931034
40,460,0.164130434782609,33,455,-0.0608695652173913,20,202,0.197826086956522,20,321,0.0402173913043478,9,122,9,118,0.075,37,460,0.227173913043478,25,392,0.215217391304348,26,398,0.286956521739131,16,316,-0.0423913043478261,19,398,0.164130434782609,19,313,0.0676229508196721,0.0900900900900901,0.0586510263929619,0.0687022900763359,0.0744466800804829,0.0599520383693046,0.0613207547169811,0.0481927710843374,0.0455635491606715,0.0572289156626506,0.976,0.444,0.682,0.262,0.994,0.834,0.848,0.664,0.834,0.664,0.08,0.989130434782609,0.439130434782609,0.697826086956522,0.265217391304348,1,0.852173913043478,0.865217391304348,0.68695652173913,0.865217391304348,0.680434782608696
43,457,0.297949213780469,30,455,-0.191084423184571,26,189,0.214849117093278,22,332,0.118670805556969,6,118,7,117,0.069767441860465,40,457,0.230675283700575,28,403,0.203043102132207,29,401,0.479415805811409,11,336,-0.123505165131546,23,408,0.297949213780469,14,324,0.0618556701030928,0.12093023255814,0.0621468926553672,0.0483870967741935,0.0804828973843058,0.0649651972157773,0.0674418604651163,0.031700288184438,0.0533642691415313,0.0414201183431953,0.97,0.43,0.708,0.248,0.994,0.862,0.86,0.694,0.862,0.676,0.086,0.99562363238512,0.413566739606127,0.726477024070022,0.258205689277899,1,0.881838074398249,0.87746170678337,0.735229759299781,0.892778993435449,0.708971553610503
53,447,0.146469123295766,45,445,-0.0866151703178422,27,189,0.203241737368621,28,327,0.140855177071462,7,122,8,125,0.0566037735849056,50,447,0.129922755476763,39,387,0.113291967413786,40,388,0.324131526740112,21,322,-0.0511164577265628,25,401,0.146469123295766,30,299,0.0918367346938776,0.125,0.0788732394366197,0.0542635658914729,0.100603621730382,0.0915492957746479,0.0934579439252336,0.0612244897959184,0.0586854460093897,0.0911854103343465,0.98,0.432,0.71,0.258,0.994,0.852,0.856,0.686,0.852,0.658,0.106,0.995525727069351,0.422818791946309,0.731543624161074,0.272930648769575,1,0.865771812080537,0.868008948545861,0.720357941834452,0.897091722595078,0.668903803131991
43,457,0.0943972316930437,38,447,-0.214340237138059,27,189,0.228537987888657,20,317,0.0313978932369854,9,110,8,114,-0.00218818380743979,43,456,0.0596916187471375,33,378,0.0640679863620173,33,380,0.267670856444965,17,303,-0.174393160653402,25,386,0.0943972316930437,25,301,0.0783505154639175,0.125,0.0593471810089021,0.0756302521008403,0.0861723446893788,0.0802919708029197,0.0799031476997579,0.053125,0.0608272506082725,0.0766871165644172,0.97,0.432,0.674,0.238,0.998,0.822,0.826,0.64,0.822,0.652,0.086,0.978118161925602,0.413566739606127,0.693654266958424,0.240700218818381,0.99781181619256,0.827133479212254,0.831509846827133,0.663019693654267,0.844638949671772,0.658643326039387
